seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1370752	1370810	59	*	X001	64856	1370903	1378262	7360	+	92	upstream	92	VWA1
chr1	10856605	10856733	129	*	X008	54897	10696666	10856733	160068	-	0	inside	0	CASZ1
chr1	15479805	15479878	74	*	X009	200197	15438311	15478960	40650	-	844	upstream	844	TMEM51-AS1
chr1	15479923	15479970	48	*	X010	200197	15438311	15478960	40650	-	962	upstream	962	TMEM51-AS1
chr1	27286935	27286965	31	*	X013	126695	27276047	27286901	10855	-	33	upstream	33	KDF1
chr1	32930403	32930474	72	*	X016	653121	32930658	33071542	140885	+	183	upstream	183	ZBTB8A
chr1	32930403	32930474	72	*	X016	728116	32930658	32953459	22802	+	183	upstream	183	ZBTB8B
chr1	43996372	43996430	59	*	X021	5792	43996547	44089343	92797	+	116	upstream	116	PTPRF
chr1	44870767	44870976	210	*	X022	55182	44870960	45117396	246437	+	0	overlapStart	0	RNF220
chr1	67773011	67773019	9	*	X037	3595	67773047	67862583	89537	+	27	upstream	27	IL12RB2
chr1	68297803	68298032	230	*	X038	100289178	68297971	68668670	370700	+	0	overlapStart	0	GNG12-AS1
chr1	68698108	68698256	149	*	X040	79971	68564142	68698284	134143	-	0	inside	27	WLS
chr1	70032923	70032950	28	*	X041	57554	70032868	70589171	556304	+	0	inside	54	LRRC7
chr1	70032992	70033000	9	*	X042	57554	70032868	70589171	556304	+	0	inside	123	LRRC7
chr1	71513522	71513526	5	*	X043	5733	71318036	71513491	195456	-	30	upstream	30	PTGER3
chr1	71513553	71513641	89	*	X044	5733	71318036	71513491	195456	-	61	upstream	61	PTGER3
chr1	72749178	72749364	187	*	X045	257194	71868625	72748405	879781	-	772	upstream	772	NEGR1
chr1	72749490	72749592	103	*	X046	257194	71868625	72748405	879781	-	1084	upstream	1084	NEGR1
chr1	86046172	86046234	63	*	X052	3491	86046444	86049648	3205	+	209	upstream	209	CCN1
chr1	86622258	86622442	185	*	X053	255631	86194916	86622446	427531	-	0	inside	3	COL24A1
chr1	93913756	93913812	57	*	X054	54874	93913688	94020218	106531	+	0	inside	67	FNBP1L
chr1	107682788	107682798	11	*	X058	22854	107682629	108024475	341847	+	0	inside	158	NTNG1
chr1	107682828	107682931	104	*	X059	22854	107682629	108024475	341847	+	0	inside	198	NTNG1
chr1	109656602	109656795	194	*	X060	127003	109648573	109656479	7907	-	122	upstream	122	C1orf194
chr1	109656602	109656795	194	*	X060	57535	109656585	109749403	92819	+	0	inside	16	ELAPOR1
chr1	109656813	109656876	64	*	X061	127003	109648573	109656479	7907	-	333	upstream	333	C1orf194
chr1	109656813	109656876	64	*	X061	57535	109656585	109749403	92819	+	0	inside	227	ELAPOR1
chr1	155098889	155099118	230	*	X066	1942	155100349	155107386	7038	+	1230	upstream	1230	EFNA1
chr1	160039779	160039799	21	*	X067	3766	160007257	160040051	32795	-	0	inside	251	KCNJ10
chr1	166945129	166945153	25	*	X070	387597	166882441	166944561	62121	-	567	upstream	567	ILDR2
chr1	192778278	192778341	64	*	X075	5997	192778169	192781407	3239	+	0	inside	108	RGS2
chr1	214724865	214724924	60	*	X091	5784	214522039	214725024	202986	-	0	inside	99	PTPN14
chr1	223537241	223537288	48	*	X095	55061	223394161	223537544	143384	-	0	inside	255	SUSD4
chr1	223537303	223537333	31	*	X096	55061	223394161	223537544	143384	-	0	inside	210	SUSD4
chr1	223537381	223537434	54	*	X097	55061	223394161	223537544	143384	-	0	inside	109	SUSD4
chr1	224803676	224803692	17	*	X098	149111	224804179	224928249	124071	+	486	upstream	486	CNIH3
chr1	227506011	227506064	54	*	X099	8476	227177566	227505826	328261	-	184	upstream	184	CDC42BPA
chr1	244080858	244080863	6	*	X101	339529	244080704	244210619	129916	+	0	inside	153	LINC02774
chr2	16080967	16081056	90	*	X104	4613	16080683	16087129	6447	+	0	inside	283	MYCN
chr2	25897010	25897026	17	*	X106	1838	25600067	25896516	296450	-	493	upstream	493	DTNB
chr2	26785217	26785248	32	*	X107	339778	26785481	26802397	16917	+	232	upstream	232	FAM166C
chr2	27342000	27342250	251	*	X110	10669	27322221	27341995	19775	-	4	upstream	4	CGREF1
chr2	54951202	54951214	13	*	X116	400954	54952149	55199156	247008	+	934	upstream	934	EML6
chr2	66662054	66662170	117	*	X118	4211	66662532	66799891	137360	+	361	upstream	361	MEIS1
chr2	66662054	66662170	117	*	X118	730198	66650475	66660602	10128	-	1451	upstream	1451	MEIS1-AS3
chr2	98962812	98962992	181	*	X123	1261	98962618	99015064	52447	+	0	inside	193	CNGA3
chr2	100939189	100939210	22	*	X125	164832	100889753	100939195	49443	-	0	overlapStart	0	LONRF2
chr2	124782591	124782634	44	*	X136	129684	124782864	125672863	890000	+	229	upstream	229	CNTNAP5
chr2	124782647	124782755	109	*	X137	129684	124782864	125672863	890000	+	108	upstream	108	CNTNAP5
chr2	164592593	164592611	19	*	X147	55137	164464118	164592513	128396	-	79	upstream	79	FIGN
chr2	164592642	164592657	16	*	X148	55137	164464118	164592513	128396	-	128	upstream	128	FIGN
chr2	170219289	170219495	207	*	X151	4036	169983619	170219122	235504	-	166	upstream	166	LRP2
chr2	172949549	172949595	47	*	X152	1745	172950208	172954401	4194	+	612	upstream	612	DLX1
chr2	210636195	210636251	57	*	X163	285175	210636717	210864024	227308	+	465	upstream	465	UNC80
chr2	213403221	213403326	106	*	X164	2066	212240442	213403352	1162911	-	0	inside	25	ERBB4
chr2	213403446	213403637	192	*	X165	2066	212240442	213403352	1162911	-	93	upstream	93	ERBB4
chr2	233251412	233251525	114	*	X170	347694	233250460	233251754	1295	-	0	inside	228	ECEL1P2
chr3	24535846	24535858	13	*	X174	644990	24535578	24541502	5925	+	0	inside	267	THRB-AS1
chr3	24537200	24537372	173	*	X175	7068	24158645	24536453	377809	-	746	upstream	746	THRB
chr3	32022246	32022373	128	*	X177	344787	32023266	32033228	9963	+	892	upstream	892	ZNF860
chr3	37903848	37903951	104	*	X181	10217	37903669	38025960	122292	+	0	inside	178	CTDSPL
chr3	45187783	45187888	106	*	X182	64866	45123769	45187914	64146	-	0	inside	25	CDCP1
chr3	49171084	49171094	11	*	X183	3913	49158547	49170599	12053	-	484	upstream	484	LAMB2
chr3	49171107	49171126	20	*	X184	3913	49158547	49170599	12053	-	507	upstream	507	LAMB2
chr3	49171148	49171190	43	*	X185	3913	49158547	49170599	12053	-	548	upstream	548	LAMB2
chr3	66024644	66024853	210	*	X186	9223	65339906	66024509	684604	-	134	upstream	134	MAGI1
chr3	72937078	72937119	42	*	X191	727936	72937385	73024522	87138	+	265	upstream	265	GXYLT2
chr3	123167442	123167459	18	*	X193	111	123001143	123167392	166250	-	49	upstream	49	ADCY5
chr3	127347676	127347696	21	*	X198	50512	127348002	127391653	43652	+	305	upstream	305	PODXL2
chr3	138153224	138153235	12	*	X212	83850	138153415	138197256	43842	+	179	upstream	179	ESYT3
chr3	145879132	145879329	198	*	X213	5352	145787228	145879282	92055	-	0	overlapStart	0	PLOD2
chr3	183947118	183947137	20	*	X224	90113	183948317	183960117	11801	+	1179	upstream	1179	VWA5B2
chr3	183947482	183947550	69	*	X225	90113	183948317	183960117	11801	+	766	upstream	766	VWA5B2
chr3	183947628	183947651	24	*	X226	90113	183948317	183960117	11801	+	665	upstream	665	VWA5B2
chr3	186080215	186080270	56	*	X227	1608	185864990	186080023	215034	-	191	upstream	191	DGKG
chr3	192958558	192958573	16	*	X228	57110	192958917	192988644	29728	+	343	upstream	343	PLAAT1
chr3	192958558	192958573	16	*	X228	84789	192959568	192961761	2194	+	994	upstream	994	MGC2889
chr4	1004486	1004566	81	*	X229	53834	1004940	1020686	15747	+	373	upstream	373	FGFRL1
chr4	2043565	2043567	3	*	X231	401115	2043720	2045697	1978	+	152	upstream	152	C4orf48
chr4	66534068	66534135	68	*	X235	100144602	66535679	66559104	23426	+	1543	upstream	1543	EPHA5-AS1
chr4	77172696	77172707	12	*	X237	100631383	77172853	77232283	59431	+	145	upstream	145	FAM47E-STBD1
chr4	77227447	77227575	129	*	X238	8987	77227179	77232283	5105	+	0	inside	267	STBD1
chr4	84457251	84457406	156	*	X242	84803	84457067	84527027	69961	+	0	inside	183	GPAT3
chr4	106816170	106816427	258	*	X244	255743	106816597	106892828	76232	+	169	upstream	169	NPNT
chr4	122686328	122686365	38	*	X252	132332	122680085	122686340	6256	-	0	overlapStart	0	SMIM43
chr4	126236062	126236249	188	*	X253	79633	126237567	126414087	176521	+	1317	upstream	1317	FAT4
chr4	126236885	126236931	47	*	X254	79633	126237567	126414087	176521	+	635	upstream	635	FAT4
chr4	142054379	142054385	7	*	X256	57484	141786725	142054616	267892	-	0	inside	230	RNF150
chr4	142054592	142054648	57	*	X257	57484	141786725	142054616	267892	-	0	overlapStart	0	RNF150
chr4	166300333	166300356	24	*	X263	1363	166300097	166419482	119386	+	0	inside	235	CPE
chr4	168155557	168155759	203	*	X264	50859	167654536	168155741	501206	-	0	overlapStart	0	SPOCK3
chr4	170948639	170948757	119	*	X266	9848	170907748	170947429	39682	-	1209	upstream	1209	MFAP3L
chr4	170948809	170948852	44	*	X267	9848	170907748	170947429	39682	-	1379	upstream	1379	MFAP3L
chr4	175443854	175443860	7	*	X270	3248	175411328	175444049	32722	-	0	inside	188	HPGD
chr4	184021250	184021270	21	*	X272	152641	184018174	184020352	2179	-	897	upstream	897	WWC2-AS2
chr4	184826298	184826312	15	*	X273	56977	184826509	184938875	112367	+	196	upstream	196	STOX2
chr4	184826344	184826395	52	*	X274	56977	184826509	184938875	112367	+	113	upstream	113	STOX2
chr5	38845829	38846125	297	*	X275	9180	38845960	38935743	89784	+	0	overlapStart	0	OSMR
chr5	54529418	54529514	97	*	X282	10309	54526981	54529508	2528	-	0	overlapStart	0	CCNO
chr5	57755893	57756015	123	*	X283	10769	57749810	57755966	6157	-	0	overlapStart	0	PLK2
chr5	57756056	57756084	29	*	X284	10769	57749810	57755966	6157	-	89	upstream	89	PLK2
chr5	57878917	57879037	121	*	X285	115827	57878939	58147406	268468	+	0	overlapStart	0	RAB3C
chr5	72416619	72416664	46	*	X289	134285	72416388	72427644	11257	+	0	inside	230	TMEM171
chr5	112824162	112824346	185	*	X300	4163	112357796	112824527	466732	-	0	inside	180	MCC
chr5	119799772	119799828	57	*	X302	51334	119800019	120022964	222946	+	190	upstream	190	PRR16
chr5	121413876	121414229	354	*	X303	4015	121398890	121414055	15166	-	0	overlapStart	0	LOX
chr5	122425123	122425240	118	*	X304	93166	122424841	122523745	98905	+	0	inside	281	PRDM6
chr5	125930743	125930935	193	*	X308	501	125877533	125931082	53550	-	0	inside	146	ALDH7A1
chr5	126626475	126626577	103	*	X309	84466	126626456	126796910	170455	+	0	inside	18	MEGF10
chr5	129240473	129240673	201	*	X310	337876	129240523	129522327	281805	+	0	overlapStart	0	CHSY3
chr5	146889564	146889700	137	*	X317	1809	146770371	146889619	119249	-	0	overlapStart	0	DPYSL3
chr5	174871477	174871490	14	*	X327	1812	174867675	174871163	3489	-	313	upstream	313	DRD1
chr5	175625978	175626070	93	*	X329	643201	175570088	175626298	56211	-	0	inside	227	LOC643201
chr5	179499377	179499515	139	*	X330	55819	179382474	179499109	116636	-	267	upstream	267	RNF130
chr6	1311813	1311946	134	*	X331	94234	1312675	1314993	2319	+	728	upstream	728	FOXQ1
chr6	3457939	3457963	25	*	X333	63027	3269207	3456793	187587	-	1145	upstream	1145	SLC22A23
chr6	3457977	3458029	53	*	X334	63027	3269207	3456793	187587	-	1183	upstream	1183	SLC22A23
chr6	3458232	3458243	12	*	X335	63027	3269207	3456793	187587	-	1438	upstream	1438	SLC22A23
chr6	7541425	7541449	25	*	X336	1832	7541870	7586946	45077	+	420	upstream	420	DSP
chr6	7541475	7541486	12	*	X337	1832	7541870	7586946	45077	+	383	upstream	383	DSP
chr6	7541535	7541576	42	*	X338	1832	7541870	7586946	45077	+	293	upstream	293	DSP
chr6	7726837	7726854	18	*	X340	654	7727011	7881961	154951	+	156	upstream	156	BMP6
chr6	7726866	7727045	180	*	X341	654	7727011	7881961	154951	+	0	overlapStart	0	BMP6
chr6	10411934	10412224	291	*	X347	100130275	10412551	10416402	3852	+	326	upstream	326	TFAP2A-AS1
chr6	39197370	39197397	28	*	X354	8645	39156747	39197251	40505	-	118	upstream	118	KCNK5
chr6	72130454	72130547	94	*	X358	79940	72124149	72130448	6300	-	5	upstream	5	LINC00472
chr6	80341193	80341220	28	*	X361	83699	80341000	80413369	72370	+	0	inside	192	SH3BGRL2
chr6	100912514	100912645	132	*	X366	6492	100836750	100912805	76056	-	0	inside	159	SIM1
chr6	100912658	100912774	117	*	X367	6492	100836750	100912805	76056	-	0	inside	30	SIM1
chr6	124125338	124125392	55	*	X373	154215	124125069	125146786	1021718	+	0	inside	268	NKAIN2
chr6	134438810	134438838	29	*	X378	387065	134435111	134438818	3708	-	0	overlapStart	0	HMGA1P7
chr6	144329726	144329897	172	*	X379	57061	144324034	144329867	5834	-	0	overlapStart	0	HYMAI
chr6	166401450	166401469	20	*	X382	90632	166337536	166401527	63992	-	0	inside	57	LINC00473
chr6	166401485	166401504	20	*	X383	90632	166337536	166401527	63992	-	0	inside	22	LINC00473
chr6	168226372	168226442	71	*	X384	4301	168227671	168372700	145030	+	1228	upstream	1228	AFDN
chr6	170599914	170599926	13	*	X386	28514	170591294	170599697	8404	-	216	upstream	216	DLL1
chr6	170599947	170599958	12	*	X387	28514	170591294	170599697	8404	-	249	upstream	249	DLL1
chr7	22766975	22767034	60	*	X392	3569	22766766	22771621	4856	+	0	inside	208	IL6
chr7	82073490	82073595	106	*	X402	781	81579418	82073031	493614	-	458	upstream	458	CACNA2D1
chr7	82073607	82073647	41	*	X403	781	81579418	82073031	493614	-	575	upstream	575	CACNA2D1
chr7	84816455	84816549	95	*	X404	223117	84624872	84816171	191300	-	283	upstream	283	SEMA3D
chr7	89748666	89748666	1	*	X405	442523	89748714	89754914	6201	+	47	upstream	47	DPY19L2P4
chr7	100425460	100425474	15	*	X408	2050	100400187	100425143	24957	-	316	upstream	316	EPHB4
chr7	100845049	100845257	209	*	X409	346606	100839013	100844302	5290	-	746	upstream	746	MOGAT3
chr7	100845271	100845285	15	*	X410	346606	100839013	100844302	5290	-	968	upstream	968	MOGAT3
chr7	116963064	116963088	25	*	X415	7472	116916686	116963343	46658	-	0	inside	254	WNT2
chr7	116963530	116963587	58	*	X416	7472	116916686	116963343	46658	-	186	upstream	186	WNT2
